"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","32","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","94.12","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","3","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","13.04","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","20","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","86.96","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","18","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","100","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","1","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","3.57","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","27","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","96.43","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","19","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","100","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","5","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","14.71","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","29","Quality checks","C3871","RQ3 select yes","count and percentage"
